racer_number,racer_name,races,wins,win_rate
4960,黒野 元基,380,131,0.3447
4058,野末 智一,380,61,0.1605
4398,船岡 洋一郎,380,109,0.2868
4588,田中 京介,380,79,0.2079
3997,北村 征嗣,380,95,0.25
4089,妹尾 忠幸,380,76,0.2
4064,原田 篤志,380,107,0.2816
4366,前沢 丈史,380,94,0.2474
3983,須藤 博倫,379,81,0.2137
4337,平本 真之,379,92,0.2427
4514,上條 嘉嗣,379,114,0.3008
4122,安東 幸治,379,67,0.1768
4983,前田 篤哉,379,124,0.3272
4738,清埜 翔子,379,86,0.2269
4363,大野 芳顕,378,66,0.1746
4773,中川 りな,378,75,0.1984
5136,濱野 斗馬,378,92,0.2434
5075,中島 秀治,378,80,0.2116
4475,末永 祐輝,377,71,0.1883
4102,益田 啓司,377,121,0.321
4659,木下 翔太,377,113,0.2997
4472,尾嶋 一広,377,89,0.2361
4376,藤田 靖弘,377,79,0.2095
3999,大瀧 明日香,376,76,0.2021
4786,佐藤 博亮,375,111,0.296
4171,榎 幸司,375,84,0.224
3473,石川 真二,375,109,0.2907
4739,中村 晃朋,375,97,0.2587
4852,川原 祐明,375,129,0.344
4261,岡 祐臣,374,80,0.2139
4798,浜先 真範,374,102,0.2727
4581,吉村 誠,374,92,0.246
4415,下出 卓矢,374,101,0.2701
5043,中村 日向,374,110,0.2941
4057,松井 賢治,374,67,0.1791
4269,杉山 裕也,373,104,0.2788
3960,菊地 孝平,373,109,0.2922
4377,濱本 優一,373,92,0.2466
4159,向後 龍一,373,78,0.2091
4649,和田 操拓,373,73,0.1957
4120,柘植 政浩,373,67,0.1796
3988,古川 誠之,372,74,0.1989
4682,大上 卓人,372,100,0.2688
4166,吉田 拡郎,372,114,0.3065
3613,角谷 健吾,372,78,0.2097
3482,金子 猛志,372,47,0.1263
4958,溝口 海義也,372,85,0.2285
3333,丸尾 義孝,372,84,0.2258
5220,青木 蓮,371,103,0.2776
4824,松井 洪弥,371,104,0.2803
4834,浜本 裕己,371,78,0.2102
3984,坂口 周,370,92,0.2486
4123,細川 裕子,370,90,0.2432
4302,西野 翔太,370,95,0.2568
3548,室田 泰史,370,66,0.1784
4319,三宅 潤,370,61,0.1649
4788,小池 哲也,370,65,0.1757
3918,深井 利寿,370,85,0.2297
4215,吉島 祥之,370,76,0.2054
3590,濱野谷 憲吾,369,101,0.2737
3811,石田 章央,369,88,0.2385
4460,後藤 翔之,369,72,0.1951
3412,鈴木 博,369,89,0.2412
4732,堀本 和也,368,90,0.2446
4076,杉田 篤光,368,55,0.1495
3304,烏野 賢太,368,80,0.2174
4388,是澤 孝宏,368,72,0.1957
4391,松田 祐季,367,107,0.2916
3915,繁野谷 圭介,367,76,0.2071
4761,山田 晃大,367,79,0.2153
4369,丹下 将,367,79,0.2153
4537,渡邉 和将,366,108,0.2951
4441,末永 由楽,366,85,0.2322
3941,池田 浩二,366,118,0.3224
3562,山下 和彦,366,78,0.2131
4504,前田 将太,366,84,0.2295
3952,中澤 和志,365,112,0.3068
5145,島川 海輝,365,93,0.2548
4719,上條 暢嵩,365,112,0.3068
4172,森定 晃史,365,65,0.1781
4446,和田 兼輔,365,100,0.274
4413,水摩 敦,365,71,0.1945
4262,馬場 貴也,365,111,0.3041
4430,永田 秀二,364,72,0.1978
4938,小芦 るり華,364,108,0.2967
4757,山田 祐也,364,105,0.2885
4531,武富 智亮,364,78,0.2143
3908,重成 一人,364,102,0.2802
4583,古田 祐貴,364,54,0.1484
4985,井本 昌也,363,105,0.2893
