stadium_number,entry_course_actual,race_wind_direction_number,races,wins,win_rate,nige_wins,nige_rate,low_sample
13,4,16,133,12,0.0902,0,0.0,0
13,4,17,284,24,0.0845,0,0.0,0
13,4,2,52,5,0.0962,0,0.0,0
13,4,4,327,21,0.0642,0,0.0,0
13,4,6,258,32,0.124,0,0.0,0
13,4,8,76,6,0.0789,0,0.0,0
13,5,10,267,10,0.0375,0,0.0,0
13,5,12,1010,55,0.0545,0,0.0,0
13,5,14,747,48,0.0643,0,0.0,0
13,5,16,133,11,0.0827,0,0.0,0
13,5,17,284,11,0.0387,0,0.0,0
13,5,2,52,2,0.0385,0,0.0,0
13,5,4,326,17,0.0521,0,0.0,0
13,5,6,258,10,0.0388,0,0.0,0
13,5,8,76,7,0.0921,0,0.0,0
13,6,10,261,6,0.023,0,0.0,0
13,6,12,999,13,0.013,0,0.0,0
13,6,14,737,16,0.0217,0,0.0,0
13,6,16,132,2,0.0152,0,0.0,0
13,6,17,283,8,0.0283,0,0.0,0
13,6,2,52,0,0.0,0,0.0,0
13,6,4,322,4,0.0124,0,0.0,0
13,6,6,256,5,0.0195,0,0.0,0
13,6,8,74,1,0.0135,0,0.0,0
14,1,1,23,16,0.6957,15,0.6522,0
14,1,11,430,193,0.4488,187,0.4349,0
14,1,13,851,429,0.5041,417,0.49,0
14,1,15,29,12,0.4138,12,0.4138,0
14,1,17,133,74,0.5564,71,0.5338,0
14,1,3,175,83,0.4743,78,0.4457,0
14,1,5,1080,515,0.4769,495,0.4583,0
14,1,7,216,104,0.4815,99,0.4583,0
14,1,9,34,20,0.5882,20,0.5882,0
14,2,1,23,3,0.1304,0,0.0,0
14,2,11,430,55,0.1279,0,0.0,0
14,2,13,851,115,0.1351,0,0.0,0
14,2,15,29,4,0.1379,0,0.0,0
14,2,17,133,19,0.1429,0,0.0,0
14,2,3,175,18,0.1029,0,0.0,0
14,2,5,1080,170,0.1574,0,0.0,0
14,2,7,216,40,0.1852,0,0.0,0
14,2,9,34,4,0.1176,0,0.0,0
14,3,1,23,1,0.0435,0,0.0,0
14,3,11,430,71,0.1651,0,0.0,0
