stadium_number,entry_course_actual,wind_band,races,wins,win_rate,nige_wins,nige_rate,low_sample
23,3,0-1,347,38,0.1095,0,0.0,0
23,3,2-3,1215,156,0.1284,0,0.0,0
23,3,4-5,1045,129,0.1234,0,0.0,0
23,3,6+,402,55,0.1368,0,0.0,0
23,4,0-1,347,19,0.0548,0,0.0,0
23,4,2-3,1215,97,0.0798,0,0.0,0
23,4,4-5,1045,122,0.1167,0,0.0,0
23,4,6+,402,54,0.1343,0,0.0,0
23,5,0-1,347,19,0.0548,0,0.0,0
23,5,2-3,1214,68,0.056,0,0.0,0
23,5,4-5,1045,63,0.0603,0,0.0,0
23,5,6+,402,32,0.0796,0,0.0,0
23,6,0-1,343,1,0.0029,0,0.0,0
23,6,2-3,1205,24,0.0199,0,0.0,0
23,6,4-5,1031,25,0.0242,0,0.0,0
23,6,6+,399,5,0.0125,0,0.0,0
24,1,0-1,1543,976,0.6325,928,0.6014,0
24,1,2-3,1272,747,0.5873,699,0.5495,0
24,1,4-5,277,159,0.574,152,0.5487,0
24,1,6+,187,111,0.5936,108,0.5775,0
24,2,0-1,1543,170,0.1102,0,0.0,0
24,2,2-3,1272,176,0.1384,0,0.0,0
24,2,4-5,277,25,0.0903,0,0.0,0
24,2,6+,187,25,0.1337,0,0.0,0
24,3,0-1,1543,171,0.1108,0,0.0,0
24,3,2-3,1272,145,0.114,0,0.0,0
24,3,4-5,277,31,0.1119,0,0.0,0
24,3,6+,187,24,0.1283,0,0.0,0
24,4,0-1,1543,123,0.0797,0,0.0,0
24,4,2-3,1272,115,0.0904,0,0.0,0
24,4,4-5,277,29,0.1047,0,0.0,0
24,4,6+,187,14,0.0749,0,0.0,0
24,5,0-1,1543,80,0.0518,0,0.0,0
24,5,2-3,1272,74,0.0582,0,0.0,0
24,5,4-5,277,27,0.0975,0,0.0,0
24,5,6+,187,7,0.0374,0,0.0,0
24,6,0-1,1531,23,0.015,0,0.0,0
24,6,2-3,1265,15,0.0119,0,0.0,0
24,6,4-5,275,6,0.0218,0,0.0,0
24,6,6+,187,4,0.0214,0,0.0,0
3,1,0-1,198,93,0.4697,84,0.4242,0
3,1,2-3,818,392,0.4792,365,0.4462,0
3,1,4-5,912,433,0.4748,403,0.4419,0
3,1,6+,891,387,0.4343,357,0.4007,0
3,2,0-1,198,41,0.2071,0,0.0,0
3,2,2-3,818,157,0.1919,0,0.0,0
3,2,4-5,912,146,0.1601,0,0.0,0
3,2,6+,891,173,0.1942,0,0.0,0
3,3,0-1,198,24,0.1212,0,0.0,0
3,3,2-3,818,111,0.1357,0,0.0,0
3,3,4-5,912,130,0.1425,0,0.0,0
3,3,6+,891,130,0.1459,0,0.0,0
3,4,0-1,198,22,0.1111,0,0.0,0
3,4,2-3,818,87,0.1064,0,0.0,0
3,4,4-5,912,115,0.1261,0,0.0,0
3,4,6+,891,125,0.1403,0,0.0,0
3,5,0-1,198,11,0.0556,0,0.0,0
3,5,2-3,818,57,0.0697,0,0.0,0
3,5,4-5,912,58,0.0636,0,0.0,0
3,5,6+,891,59,0.0662,0,0.0,0
3,6,0-1,192,7,0.0365,0,0.0,0
3,6,2-3,808,13,0.0161,0,0.0,0
3,6,4-5,894,30,0.0336,0,0.0,0
3,6,6+,869,17,0.0196,0,0.0,0
4,1,0-1,738,333,0.4512,318,0.4309,0
4,1,2-3,1176,518,0.4405,493,0.4192,0
4,1,4-5,757,347,0.4584,327,0.432,0
4,1,6+,255,110,0.4314,107,0.4196,0
4,2,0-1,738,109,0.1477,0,0.0,0
4,2,2-3,1176,197,0.1675,0,0.0,0
4,2,4-5,757,134,0.177,0,0.0,0
4,2,6+,255,40,0.1569,0,0.0,0
4,3,0-1,738,135,0.1829,0,0.0,0
4,3,2-3,1176,176,0.1497,0,0.0,0
4,3,4-5,757,120,0.1585,0,0.0,0
4,3,6+,255,41,0.1608,0,0.0,0
4,4,0-1,738,89,0.1206,0,0.0,0
4,4,2-3,1176,159,0.1352,0,0.0,0
4,4,4-5,757,93,0.1229,0,0.0,0
4,4,6+,255,34,0.1333,0,0.0,0
4,5,0-1,738,52,0.0705,0,0.0,0
4,5,2-3,1176,89,0.0757,0,0.0,0
4,5,4-5,757,48,0.0634,0,0.0,0
4,5,6+,255,25,0.098,0,0.0,0
4,6,0-1,730,19,0.026,0,0.0,0
4,6,2-3,1156,37,0.032,0,0.0,0
4,6,4-5,752,15,0.0199,0,0.0,0
4,6,6+,252,5,0.0198,0,0.0,0
5,1,0-1,1292,702,0.5433,680,0.5263,0
5,1,2-3,1512,811,0.5364,778,0.5146,0
5,1,4-5,337,180,0.5341,168,0.4985,0
5,1,6+,54,22,0.4074,20,0.3704,0
5,2,0-1,1292,168,0.13,0,0.0,0
5,2,2-3,1512,217,0.1435,0,0.0,0
5,2,4-5,337,47,0.1395,0,0.0,0
5,2,6+,54,10,0.1852,0,0.0,0
5,3,0-1,1292,162,0.1254,0,0.0,0
5,3,2-3,1512,210,0.1389,0,0.0,0
5,3,4-5,337,38,0.1128,0,0.0,0
5,3,6+,54,9,0.1667,0,0.0,0
5,4,0-1,1292,144,0.1115,0,0.0,0
5,4,2-3,1512,142,0.0939,0,0.0,0
