fetched_at,race_date,stadium_number,race_number,race_closed_at,bet_type,combination,odds
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,1-3-2,8.5
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,2-3-1,111.8
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,3-2-1,124.0
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,4-2-1,115.1
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,5-2-1,321.1
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,6-2-1,1436.0
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,1-3-4,7.0
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,2-3-4,175.0
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,3-2-4,153.3
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,4-2-3,196.4
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,5-2-3,546.0
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,6-2-3,2100.0
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,1-3-5,20.4
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,2-3-5,265.0
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,3-2-5,345.5
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,4-2-5,337.0
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,5-2-4,718.4
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,6-2-4,1706.0
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,1-3-6,137.8
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,2-3-6,718.4
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,3-2-6,780.0
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,4-2-6,1011.0
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,5-2-6,758.3
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,6-2-5,1436.0
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,1-4-2,11.2
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,2-4-1,117.1
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,3-4-1,61.3
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,4-3-1,70.1
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,5-3-1,313.8
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,6-3-1,557.1
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,1-4-3,9.6
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,2-4-3,179.6
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,3-4-2,147.5
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,4-3-2,200.7
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,5-3-2,557.1
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,6-3-2,1436.0
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,1-4-5,19.5
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,2-4-5,433.3
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,3-4-5,257.5
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,4-3-5,364.0
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,5-3-4,593.4
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,6-3-4,1137.0
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,1-4-6,176.1
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,2-4-6,802.9
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,3-4-6,780.0
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,4-3-6,941.4
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,5-3-6,1011.0
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,6-3-5,1706.0
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,1-5-2,53.4
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,2-5-1,248.1
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,3-5-1,239.4
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,4-5-1,111.4
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,5-4-1,306.7
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,6-4-1,2481.0
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,1-5-3,49.2
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,2-5-3,395.6
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,3-5-2,287.3
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,4-5-2,192.2
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,5-4-2,650.0
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,6-4-2,2100.0
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,1-5-4,53.4
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,2-5-4,470.7
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,3-5-4,470.7
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,4-5-3,197.8
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,5-4-3,546.0
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,6-4-3,2275.0
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,1-5-6,332.9
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,2-5-6,827.2
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,3-5-6,2100.0
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,4-5-6,470.7
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,5-4-6,910.0
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,6-4-5,2730.0
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,1-6-2,354.5
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,2-6-1,1300.0
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,3-6-1,593.4
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,4-6-1,941.4
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,5-6-1,1300.0
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,6-5-1,1186.0
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,1-6-3,341.2
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,2-6-3,1050.0
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,3-6-2,1516.0
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連単,4-6-2,1820.0
