racer_number,racer_name,races,wins,win_rate
4180,上野 秀和,334,57,0.1707
4643,近江 翔吾,334,94,0.2814
3963,原田 秀弥,334,57,0.1707
4772,石丸 海渡,334,93,0.2784
4095,福来 剛,334,100,0.2994
3973,崎 利仁,333,25,0.0751
4077,品田 直樹,333,52,0.1562
4179,広次 修,333,55,0.1652
4251,川崎 誠志,333,34,0.1021
3654,武田 光史,333,98,0.2943
4365,盛本 真輔,333,63,0.1892
5223,森清 友翔,333,37,0.1111
4124,池田 雄一,333,84,0.2523
4276,鈴木 勝博,332,97,0.2922
4447,深川 麻奈美,332,69,0.2078
4614,石倉 洋行,332,104,0.3133
4287,今井 貴士,332,77,0.2319
4289,落合 直子,332,76,0.2289
3606,川北 浩貴,332,50,0.1506
4939,宮之原 輝紀,331,119,0.3595
4151,下河 誉史,331,46,0.139
4566,塩田 北斗,331,79,0.2387
3527,中嶋 誠一郎,331,42,0.1269
4914,吉田 裕平,331,94,0.284
3957,大谷 直弘,331,38,0.1148
4146,柳橋 宏紀,331,44,0.1329
4485,楠原 正剛,331,50,0.1511
4260,中越 博紀,331,66,0.1994
3514,山一 鉄也,331,76,0.2296
4361,柳生 泰二,331,120,0.3625
5178,成貞 琳平,331,24,0.0725
5189,藤原 早菜,330,50,0.1515
4052,興津 藍,330,77,0.2333
5141,大澤 風葵,330,88,0.2667
5275,松田 淳平,329,90,0.2736
4142,平野 和明,329,45,0.1368
4330,奈須 啓太,329,86,0.2614
4702,三浦 敬太,329,101,0.307
4522,古澤 光紀,329,83,0.2523
5139,大場 恒季,329,82,0.2492
4191,赤羽 克也,329,76,0.231
4205,山口 剛,328,96,0.2927
4835,橋本 明,328,27,0.0823
4403,木下 大將,328,69,0.2104
4086,寺本 重宣,328,68,0.2073
4209,藤田 竜弘,328,50,0.1524
3576,白水 勝也,328,65,0.1982
4053,芦澤 望,328,68,0.2073
5082,一色 凌雅,328,39,0.1189
4039,村上 功祐,327,44,0.1346
3813,佐藤 大介,327,86,0.263
4356,長岡 良也,327,72,0.2202
4207,松下 一也,327,89,0.2722
3563,堤 昇,327,50,0.1529
3574,大神 康司,327,83,0.2538
4050,田口 節子,327,121,0.37
4099,吉永 則雄,327,72,0.2202
4362,土屋 智則,326,73,0.2239
5035,櫻井 優,326,54,0.1656
4906,鈴木 雅希,326,48,0.1472
4035,杉江 浩明,326,27,0.0828
5109,川崎 智稔,326,33,0.1012
5064,品川 二千翔,326,65,0.1994
4463,三苫 晃幸,326,57,0.1748
5212,西川 拓利,326,62,0.1902
3502,渡邉 英児,326,46,0.1411
4012,中村 有裕,326,83,0.2546
4305,金子 拓矢,325,120,0.3692
4528,黒井 達矢,325,98,0.3015
5238,笹木 香吾,325,81,0.2492
4886,入海 馨,325,81,0.2492
5121,定松 勇樹,325,94,0.2892
4966,田川 大貴,325,60,0.1846
5085,中村 栄治,325,41,0.1262
4161,黒柳 浩孝,325,52,0.16
4839,四宮 与寛,325,64,0.1969
4890,石川 諒,325,54,0.1662
3930,岸本 隆,325,60,0.1846
5252,荒木 颯斗,325,67,0.2062
5166,仲道 大輔,325,71,0.2185
4331,三好 勇人,324,72,0.2222
4469,土山 卓也,324,72,0.2222
4518,大須賀 友,324,95,0.2932
4844,村上 奈穂,324,24,0.0741
3956,横澤 剛治,324,76,0.2346
3934,鋤柄 貴俊,323,29,0.0898
4600,井内 将太郎,323,83,0.257
4709,岡村 将也,323,53,0.1641
4513,河野 真也,323,65,0.2012
5289,佃 來紀,323,47,0.1455
4509,平見 真彦,323,57,0.1765
3627,井上 恵一,323,46,0.1424
4154,森安 弘雅,323,45,0.1393
4173,岡谷 健吾,323,42,0.13
4623,中北 将史,323,40,0.1238
3327,野長瀬 正孝,323,66,0.2043
4902,山川 雄大,322,42,0.1304
3614,谷 勝幸,322,26,0.0807
5217,藤原 碧生,322,75,0.2329
3848,川上 聡介,322,37,0.1149
5213,湯淺 紀香,322,53,0.1646
4963,實森 美祐,322,84,0.2609
4573,佐藤 翼,321,80,0.2492
3922,菅沼 佳昭,321,20,0.0623
4991,宗行 治哉,321,66,0.2056
3897,白井 英治,321,82,0.2555
4598,加藤 政彦,321,71,0.2212
4253,西川 真人,320,26,0.0813
3775,泉 啓文,320,20,0.0625
3629,浅見 昌克,320,71,0.2219
4402,乙藤 智史,320,76,0.2375
5317,長尾 萌加,320,25,0.0781
5004,河野 主樹,319,50,0.1567
4561,藤山 翔大,319,90,0.2821
3814,金子 貴志,319,27,0.0846
4587,木田 峰由季,319,78,0.2445
5236,小宮 涼雅,319,17,0.0533
4410,井上 大輔,319,48,0.1505
4240,今井 裕梨,319,65,0.2038
4529,嶋 義信,319,64,0.2006
4111,奥田 誠,319,49,0.1536
4072,森永 淳,318,112,0.3522
3349,吉田 一郎,318,75,0.2358
4933,板橋 侑我,318,82,0.2579
4423,坂口 貴彦,318,49,0.1541
5060,数原 魁,318,56,0.1761
3977,山本 兼士,318,31,0.0975
4466,南 佑典,317,56,0.1767
4684,楠原 翔太,317,58,0.183
4876,梅木 敬太,317,42,0.1325
4633,森 智也,317,50,0.1577
3968,茶谷 信次,317,56,0.1767
4974,安井 瑞紀,317,73,0.2303
5282,中本 大樹,317,44,0.1388
5125,高井 雄基,317,67,0.2114
3900,香川 素子,317,67,0.2114
3942,寺田 祥,317,78,0.2461
5130,上野 拓馬,316,23,0.0728
4458,抹香 雄三,316,44,0.1392
