racer_id,is_night,races,wins,win_rate,low_sample
3872,1,111,19,0.1712,0
3873,0,223,31,0.139,0
3873,1,68,13,0.1912,0
3874,0,266,70,0.2632,0
3874,1,76,17,0.2237,0
3875,0,214,29,0.1355,0
3875,1,84,5,0.0595,0
3876,0,201,79,0.393,0
3876,1,84,40,0.4762,0
3878,0,207,23,0.1111,0
3878,1,60,1,0.0167,0
3880,0,235,20,0.0851,0
3880,1,60,4,0.0667,0
3882,0,253,33,0.1304,0
3882,1,58,4,0.069,0
3885,0,279,44,0.1577,0
3885,1,34,3,0.0882,0
3888,0,316,56,0.1772,0
3888,1,51,8,0.1569,0
3889,0,200,17,0.085,0
3889,1,78,2,0.0256,0
3891,0,278,12,0.0432,0
3891,1,33,4,0.1212,0
3892,0,207,32,0.1546,0
3892,1,84,5,0.0595,0
3893,0,231,27,0.1169,0
3893,1,50,8,0.16,0
3895,0,129,10,0.0775,0
3895,1,26,2,0.0769,0
3896,0,217,24,0.1106,0
3896,1,25,2,0.08,0
3897,0,205,49,0.239,0
3897,1,118,33,0.2797,0
3898,0,196,57,0.2908,0
3898,1,150,52,0.3467,0
3900,0,249,52,0.2088,0
3900,1,68,15,0.2206,0
3901,0,162,21,0.1296,0
3901,1,60,8,0.1333,0
3904,0,180,28,0.1556,0
3904,1,38,1,0.0263,0
3905,0,262,45,0.1718,0
3905,1,105,19,0.181,0
3906,0,233,20,0.0858,0
3906,1,59,4,0.0678,0
3907,0,264,57,0.2159,0
3907,1,85,8,0.0941,0
3908,0,209,60,0.2871,0
3908,1,160,44,0.275,0
3909,0,266,85,0.3195,0
3909,1,95,33,0.3474,0
3910,0,224,30,0.1339,0
3910,1,73,4,0.0548,0
3911,0,310,48,0.1548,0
3911,1,50,3,0.06,0
3912,0,260,64,0.2462,0
3912,1,78,21,0.2692,0
3915,0,289,64,0.2215,0
3915,1,81,14,0.1728,0
3918,0,288,69,0.2396,0
3918,1,84,17,0.2024,0
3920,0,206,28,0.1359,0
3920,1,44,2,0.0455,0
3921,0,104,11,0.1058,0
3921,1,34,2,0.0588,0
3922,0,245,14,0.0571,0
3922,1,76,6,0.0789,0
3928,0,237,19,0.0802,0
3928,1,46,2,0.0435,0
3929,0,254,26,0.1024,0
3929,1,43,4,0.093,0
3930,0,259,47,0.1815,0
3930,1,66,13,0.197,0
3931,0,251,43,0.1713,0
3931,1,39,5,0.1282,0
