stadium_number,entry_course_actual,wind_band,races,wins,win_rate,nige_wins,nige_rate,low_sample
15,2,6+,217,26,0.1198,0,0.0,0
15,3,0-1,873,107,0.1226,0,0.0,0
15,3,2-3,1675,204,0.1218,0,0.0,0
15,3,4-5,458,61,0.1332,0,0.0,0
15,3,6+,217,29,0.1336,0,0.0,0
15,4,0-1,873,75,0.0859,0,0.0,0
15,4,2-3,1675,147,0.0878,0,0.0,0
15,4,4-5,458,56,0.1223,0,0.0,0
15,4,6+,217,23,0.106,0,0.0,0
15,5,0-1,873,50,0.0573,0,0.0,0
15,5,2-3,1675,124,0.074,0,0.0,0
15,5,4-5,458,22,0.048,0,0.0,0
15,5,6+,217,23,0.106,0,0.0,0
15,6,0-1,862,13,0.0151,0,0.0,0
15,6,2-3,1658,40,0.0241,0,0.0,0
15,6,4-5,454,15,0.033,0,0.0,0
15,6,6+,217,8,0.0369,0,0.0,0
16,1,0-1,632,382,0.6044,366,0.5791,0
16,1,2-3,1941,1075,0.5538,1024,0.5276,0
16,1,4-5,677,354,0.5229,341,0.5037,0
16,1,6+,98,53,0.5408,52,0.5306,0
16,2,0-1,632,79,0.125,0,0.0,0
16,2,2-3,1941,245,0.1262,0,0.0,0
16,2,4-5,677,76,0.1123,0,0.0,0
16,2,6+,98,11,0.1122,0,0.0,0
16,3,0-1,632,65,0.1028,0,0.0,0
16,3,2-3,1941,263,0.1355,0,0.0,0
16,3,4-5,677,115,0.1699,0,0.0,0
16,3,6+,98,8,0.0816,0,0.0,0
16,4,0-1,632,60,0.0949,0,0.0,0
16,4,2-3,1941,194,0.0999,0,0.0,0
16,4,4-5,677,72,0.1064,0,0.0,0
16,4,6+,98,15,0.1531,0,0.0,0
16,5,0-1,632,35,0.0554,0,0.0,0
16,5,2-3,1941,114,0.0587,0,0.0,0
16,5,4-5,677,44,0.065,0,0.0,0
16,5,6+,98,9,0.0918,0,0.0,0
16,6,0-1,627,11,0.0175,0,0.0,0
16,6,2-3,1928,50,0.0259,0,0.0,0
16,6,4-5,670,16,0.0239,0,0.0,0
16,6,6+,98,2,0.0204,0,0.0,0
17,1,0-1,1006,614,0.6103,596,0.5924,0
17,1,2-3,1546,862,0.5576,825,0.5336,0
17,1,4-5,706,377,0.534,367,0.5198,0
17,1,6+,84,43,0.5119,38,0.4524,0
17,2,0-1,1006,123,0.1223,0,0.0,0
