racer_id,racer_name,races,avg_start_timing,start_timing_variance,low_sample
3715,倉尾 大介,252,0.1608,0.005006,0
3716,石渡 鉄兵,339,0.1267,0.003132,0
3717,立間 充宏,257,0.1596,0.005039,0
3718,伊達 正利,296,0.1725,0.00342,0
3719,辻 栄蔵,344,0.1483,0.003771,0
3721,守田 俊介,343,0.1208,0.002833,0
3722,西村 秀樹,267,0.1751,0.004293,0
3726,桂林 寛,181,0.1586,0.005364,0
3730,塩崎 優司,315,0.1675,0.004491,0
3731,高濱 芳久,302,0.1794,0.004236,0
3736,岡本 猛,79,0.1601,0.005538,0
3737,上平 真二,304,0.1636,0.00427,0
3740,大澤 普司,355,0.1645,0.0052,0
3741,松尾 基成,261,0.1764,0.004075,0
3742,宮地 秀祈,248,0.1779,0.005401,0
3743,林 美憲,348,0.1488,0.0038,0
3744,徳増 秀樹,398,0.1272,0.003377,0
3745,橋本 年光,260,0.1701,0.003823,0
3746,岡瀬 正人,390,0.1713,0.003037,0
3747,國崎 良春,284,0.1593,0.00485,0
3748,小黒 竜吾,280,0.1648,0.004291,0
3752,宇土 泰就,278,0.1603,0.005059,0
3757,畑 和宏,279,0.1575,0.005151,0
3761,山本 光雄,259,0.1635,0.004115,0
3769,佐竹 恒彦,275,0.1733,0.005057,0
3771,折下 寛法,309,0.1456,0.00355,0
3772,一柳 和孝,284,0.1476,0.005298,0
3773,津留 浩一郎,273,0.1613,0.006581,0
3775,泉 啓文,320,0.1714,0.003961,0
3776,横井 健太,284,0.1803,0.005098,0
3777,樋口 亮,338,0.172,0.004913,0
3778,安達 美帆,204,0.2125,0.006698,0
3779,原田 幸哉,342,0.1098,0.002771,0
3783,瓜生 正義,360,0.1496,0.003531,0
3784,中島 友和,287,0.1559,0.004338,0
3787,天野 誠,232,0.1903,0.005096,0
3788,一宮 稔弘,214,0.1256,0.005069,0
3790,佐口 達也,264,0.1862,0.005529,0
3792,田中 豪,275,0.1594,0.003571,0
3793,高橋 真吾,239,0.1591,0.006747,0
3796,長野 道臣,296,0.1659,0.005515,0
3797,岩井 繁,311,0.1978,0.004069,0
3800,牧 宏次,265,0.1564,0.00494,0
3801,五反田 忍,182,0.1684,0.005556,0
3802,森岡 まき,35,0.1771,0.00286,0
3804,中渡 修作,306,0.1608,0.004452,0
3805,高橋 英之,278,0.1313,0.003164,0
3807,岡部 哲,304,0.1688,0.004546,0
3808,秋田 健太郎,258,0.165,0.006289,0
3809,吉田 光,232,0.1756,0.006953,0
3811,石田 章央,372,0.1516,0.003963,0
3812,山崎 聖司,286,0.1668,0.004676,0
3813,佐藤 大介,327,0.1643,0.004345,0
3814,金子 貴志,316,0.1867,0.004308,0
3820,樫葉 次郎,173,0.1591,0.00508,0
3822,平尾 崇典,352,0.1545,0.004316,0
3825,宮嵜 隆太郎,264,0.1273,0.004759,0
3826,村田 修次,309,0.1513,0.003986,0
3827,今泉 徹,286,0.1713,0.004414,0
3828,明石 正之,289,0.1666,0.004526,0
3831,安藤 裕貴,283,0.1481,0.00556,0
3832,下田 哲也,189,0.1635,0.004922,0
3833,中辻 博訓,360,0.1303,0.002968,0
3834,細川 明人,261,0.1913,0.005713,0
3837,秋山 広一,331,0.1599,0.003968,0
3838,伊藤 啓三,270,0.1443,0.003454,0
3839,川合 理司,301,0.1734,0.005893,0
3841,佐々木 和伸,362,0.1586,0.003428,0
3842,星野 太郎,264,0.1798,0.004417,0
3843,上之 晃弘,306,0.1574,0.004286,0
3845,中谷 朋子,224,0.1954,0.006184,0
3848,川上 聡介,319,0.1458,0.00485,0
3849,中岡 正彦,273,0.1279,0.003789,0
3850,小川 知行,336,0.1429,0.003722,0
3851,森田 昭彦,124,0.1716,0.005894,0
3852,澤 大介,294,0.1746,0.005697,0
3853,岩崎 正哉,354,0.1864,0.004902,0
3854,吉川 元浩,314,0.1385,0.004077,0
3855,大熊 辰弥,54,0.2209,0.005157,0
3857,阿波 勝哉,263,0.1918,0.006777,0
3859,多羅尾 達之,237,0.1502,0.00438,0
3860,松本 浩貴,279,0.1916,0.004828,0
3863,海老澤 泰行,273,0.1721,0.004908,0
3866,木山 誠一,242,0.1369,0.005323,0
3867,松浦 勝,274,0.172,0.006121,0
3868,尾形 栄治,278,0.1937,0.005695,0
3869,井芹 大志,268,0.1745,0.005359,0
3870,寺嶋 雄,306,0.1762,0.004507,0
3871,池田 紫乃,197,0.1816,0.004895,0
3872,岡田 憲行,352,0.1908,0.005696,0
3873,別府 昌樹,290,0.1718,0.006944,0
3874,山本 寛久,342,0.1544,0.004163,0
3875,廣中 良一,299,0.1705,0.004061,0
3876,中辻 崇人,284,0.1431,0.004821,0
3878,胡本 悟志,268,0.172,0.006721,0
3880,浅見 宗孝,295,0.1856,0.005637,0
3882,新田 智彰,310,0.169,0.005198,0
3885,久田 武,313,0.1698,0.005306,0
3888,山本 英志,368,0.1465,0.003698,0
3889,須藤 隆雄,279,0.1615,0.005225,0
3891,谷口 健一,311,0.1758,0.003832,0
3892,草場 康幸,292,0.1589,0.003554,0
3893,汐崎 正則,280,0.164,0.003901,0
3895,堀本 裕也,157,0.18,0.006411,0
3896,上田 洋平,244,0.1611,0.004013,0
3897,白井 英治,320,0.1304,0.003578,0
3898,平田 忠則,346,0.1464,0.004431,0
3900,香川 素子,317,0.1713,0.00622,0
3901,松田 憲幸,222,0.2045,0.006127,0
3904,森 貴洋,220,0.1721,0.005287,0
3905,天野 友和,369,0.1527,0.002742,0
3906,飯山 晃三,291,0.1966,0.006042,0
3907,村越 篤,350,0.1645,0.003072,0
3908,重成 一人,371,0.1439,0.003732,0
3909,佐々木 康幸,361,0.1093,0.003137,0
3910,松下 知幸,297,0.1699,0.005415,0
3911,鈴木 猛,361,0.1692,0.005701,0
3912,川原 正明,338,0.1403,0.004238,0
3915,繁野谷 圭介,372,0.1819,0.005445,0
