stadium_number,entry_course_actual,race_wind_direction_number,races,wins,win_rate,nige_wins,nige_rate,low_sample
4,1,7,26,6,0.2308,6,0.2308,0
4,1,9,8,3,0.375,3,0.375,1
4,2,1,150,22,0.1467,0,0.0,0
4,2,11,26,5,0.1923,0,0.0,0
4,2,13,624,90,0.1442,0,0.0,0
4,2,15,197,35,0.1777,0,0.0,0
4,2,17,148,24,0.1622,0,0.0,0
4,2,3,340,51,0.15,0,0.0,0
4,2,5,1443,251,0.1739,0,0.0,0
4,2,7,26,4,0.1538,0,0.0,0
4,2,9,8,2,0.25,0,0.0,1
4,3,1,150,23,0.1533,0,0.0,0
4,3,11,26,3,0.1154,0,0.0,0
4,3,13,624,105,0.1683,0,0.0,0
4,3,15,197,32,0.1624,0,0.0,0
4,3,17,148,40,0.2703,0,0.0,0
4,3,3,340,68,0.2,0,0.0,0
4,3,5,1443,202,0.14,0,0.0,0
4,3,7,26,6,0.2308,0,0.0,0
4,3,9,8,1,0.125,0,0.0,1
4,4,1,150,22,0.1467,0,0.0,0
4,4,11,26,5,0.1923,0,0.0,0
4,4,13,624,91,0.1458,0,0.0,0
4,4,15,197,28,0.1421,0,0.0,0
4,4,17,148,15,0.1014,0,0.0,0
4,4,3,340,37,0.1088,0,0.0,0
4,4,5,1443,172,0.1192,0,0.0,0
4,4,7,26,7,0.2692,0,0.0,0
4,4,9,8,1,0.125,0,0.0,1
4,5,1,150,8,0.0533,0,0.0,0
4,5,11,26,1,0.0385,0,0.0,0
4,5,13,624,64,0.1026,0,0.0,0
4,5,15,197,16,0.0812,0,0.0,0
4,5,17,148,10,0.0676,0,0.0,0
4,5,3,340,16,0.0471,0,0.0,0
4,5,5,1443,98,0.0679,0,0.0,0
4,5,7,26,3,0.1154,0,0.0,0
4,5,9,8,0,0.0,0,0.0,1
4,6,1,148,2,0.0135,0,0.0,0
4,6,11,26,1,0.0385,0,0.0,0
4,6,13,617,22,0.0357,0,0.0,0
4,6,15,196,9,0.0459,0,0.0,0
4,6,17,146,3,0.0205,0,0.0,0
4,6,3,332,11,0.0331,0,0.0,0
4,6,5,1427,29,0.0203,0,0.0,0
4,6,7,26,0,0.0,0,0.0,0
4,6,9,8,1,0.125,0,0.0,1
5,1,1,258,137,0.531,134,0.5194,0
5,1,11,211,118,0.5592,114,0.5403,0
5,1,13,141,82,0.5816,81,0.5745,0
5,1,15,117,66,0.5641,65,0.5556,0
5,1,17,264,143,0.5417,140,0.5303,0
5,1,3,454,251,0.5529,237,0.522,0
5,1,5,611,310,0.5074,288,0.4714,0
5,1,7,327,186,0.5688,178,0.5443,0
5,1,9,860,450,0.5233,436,0.507,0
5,2,1,258,40,0.155,0,0.0,0
5,2,11,211,25,0.1185,0,0.0,0
5,2,13,141,17,0.1206,0,0.0,0
5,2,15,117,20,0.1709,0,0.0,0
5,2,17,264,39,0.1477,0,0.0,0
5,2,3,454,56,0.1233,0,0.0,0
5,2,5,611,89,0.1457,0,0.0,0
5,2,7,327,40,0.1223,0,0.0,0
5,2,9,860,120,0.1395,0,0.0,0
5,3,1,258,33,0.1279,0,0.0,0
5,3,11,211,29,0.1374,0,0.0,0
5,3,13,141,21,0.1489,0,0.0,0
5,3,15,117,15,0.1282,0,0.0,0
5,3,17,264,27,0.1023,0,0.0,0
5,3,3,454,56,0.1233,0,0.0,0
5,3,5,611,83,0.1358,0,0.0,0
5,3,7,327,45,0.1376,0,0.0,0
5,3,9,860,116,0.1349,0,0.0,0
5,4,1,258,28,0.1085,0,0.0,0
5,4,11,211,15,0.0711,0,0.0,0
5,4,13,141,8,0.0567,0,0.0,0
5,4,15,117,9,0.0769,0,0.0,0
5,4,17,264,32,0.1212,0,0.0,0
5,4,3,454,51,0.1123,0,0.0,0
5,4,5,611,78,0.1277,0,0.0,0
5,4,7,327,24,0.0734,0,0.0,0
5,4,9,860,101,0.1174,0,0.0,0
5,5,1,258,11,0.0426,0,0.0,0
5,5,11,211,18,0.0853,0,0.0,0
5,5,13,141,12,0.0851,0,0.0,0
5,5,15,117,4,0.0342,0,0.0,0
5,5,17,264,17,0.0644,0,0.0,0
5,5,3,454,29,0.0639,0,0.0,0
5,5,5,611,33,0.054,0,0.0,0
5,5,7,327,26,0.0795,0,0.0,0
5,5,9,860,54,0.0628,0,0.0,0
5,6,1,258,9,0.0349,0,0.0,0
5,6,11,207,6,0.029,0,0.0,0
5,6,13,140,1,0.0071,0,0.0,0
5,6,15,117,3,0.0256,0,0.0,0
5,6,17,261,6,0.023,0,0.0,0
5,6,3,450,11,0.0244,0,0.0,0
5,6,5,607,18,0.0297,0,0.0,0
5,6,7,319,6,0.0188,0,0.0,0
5,6,9,854,19,0.0222,0,0.0,0
6,1,1,367,185,0.5041,181,0.4932,0
6,1,11,392,240,0.6122,230,0.5867,0
6,1,13,1286,633,0.4922,592,0.4603,0
6,1,15,293,147,0.5017,134,0.4573,0
6,1,17,104,57,0.5481,54,0.5192,0
6,1,3,619,346,0.559,335,0.5412,0
6,1,5,125,70,0.56,67,0.536,0
6,1,7,93,55,0.5914,53,0.5699,0
6,1,9,186,115,0.6183,110,0.5914,0
6,2,1,367,43,0.1172,0,0.0,0
6,2,11,392,45,0.1148,0,0.0,0
6,2,13,1286,162,0.126,0,0.0,0
6,2,15,293,35,0.1195,0,0.0,0
6,2,17,104,15,0.1442,0,0.0,0
6,2,3,619,96,0.1551,0,0.0,0
6,2,5,125,22,0.176,0,0.0,0
6,2,7,93,14,0.1505,0,0.0,0
6,2,9,186,22,0.1183,0,0.0,0
6,3,1,367,55,0.1499,0,0.0,0
6,3,11,392,51,0.1301,0,0.0,0
6,3,13,1286,208,0.1617,0,0.0,0
6,3,15,293,56,0.1911,0,0.0,0
6,3,17,104,13,0.125,0,0.0,0
6,3,3,619,76,0.1228,0,0.0,0
6,3,5,125,10,0.08,0,0.0,0
6,3,7,93,9,0.0968,0,0.0,0
6,3,9,186,18,0.0968,0,0.0,0
6,4,1,367,55,0.1499,0,0.0,0
6,4,11,392,34,0.0867,0,0.0,0
6,4,13,1286,146,0.1135,0,0.0,0
6,4,15,293,34,0.116,0,0.0,0
6,4,17,104,13,0.125,0,0.0,0
6,4,3,619,55,0.0889,0,0.0,0
6,4,5,125,11,0.088,0,0.0,0
6,4,7,93,7,0.0753,0,0.0,0
6,4,9,186,17,0.0914,0,0.0,0
6,5,1,367,24,0.0654,0,0.0,0
6,5,11,392,16,0.0408,0,0.0,0
